Employee_ID,Agency,Job_Grade,Employment_Type,Hire_Date,Gender,Age_Group
EMP00035,Operations,Junior,Part-time,2022-10-24,Male,26-35
EMP00036,Customer Service,Junior,Full-time,2021-07-14,Female,26-35
EMP00037,Customer Service,Lead,Contract,2021-03-19,Male,18-25
EMP00038,Finance,Manager,Contract,2022-07-08,Male,26-35
EMP00039,Customer Service,Junior,Full-time,2022-05-13,Male,26-35
EMP00040,Legal,Junior,Part-time,2021-01-03,Female,26-35
EMP00041,Customer Service,Junior,Full-time,2022-12-15,Male,36-45
EMP00042,Finance,Senior,Full-time,2022-07-10,Non-binary,26-35
EMP00043,HR,Junior,Full-time,2022-06-28,Male,18-25
EMP00044,IT,Mid,Contract,2021-03-11,Non-binary,26-35
EMP00045,Finance,Senior,Full-time,2022-09-01,Non-binary,36-45
EMP00046,Marketing,Junior,Part-time,2021-11-20,Male,26-35
EMP00047,Marketing,Mid,Contract,2021-05-15,Male,18-25
EMP00048,Operations,Junior,Full-time,2022-09-29,Female,18-25
EMP00049,Operations,Manager,Full-time,2021-12-24,Male,26-35
EMP00050,Marketing,Senior,Temporary,2022-07-11,Non-binary,36-45
EMP00051,Marketing,Manager,Full-time,2022-11-15,Male,26-35
EMP00052,HR,Junior,Full-time,2021-04-20,Non-binary,26-35
EMP00053,Marketing,Mid,Full-time,2022-12-05,Male,18-25
EMP00054,Marketing,Junior,Full-time,2022-03-10,Male,36-45
EMP00055,HR,Senior,Full-time,2021-09-26,Female,36-45
EMP00056,Operations,Manager,Full-time,2021-04-25,Male,36-45
EMP00057,HR,Mid,Full-time,2022-01-14,Female,46-55
EMP00058,Sales,Junior,Full-time,2021-02-10,Male,26-35
EMP00059,Legal,Director,Part-time,2022-07-28,Male,46-55
EMP00060,Legal,Junior,Part-time,2021-07-01,Female,46-55
EMP00061,IT,Junior,Part-time,2022-02-26,Male,26-35
EMP00062,Customer Service,Junior,Part-time,2021-02-09,Female,26-35
EMP00063,IT,Junior,Full-time,2021-08-22,Female,26-35
EMP00064,Marketing,Mid,Full-time,2021-03-13,Non-binary,56+
EMP00065,Sales,Manager,Full-time,2022-07-04,Female,26-35
EMP00066,Finance,Junior,Full-time,2021-09-29,Non-binary,46-55
EMP00067,Operations,Mid,Full-time,2022-03-23,Female,18-25
EMP00068,Finance,Mid,Part-time,2022-03-23,Non-binary,36-45
EMP00069,IT,Mid,Full-time,2022-11-18,Non-binary,56+
EMP00070,Sales,Senior,Full-time,2022-10-01,Female,36-45
EMP00071,Legal,Mid,Full-time,2022-11-14,Non-binary,18-25
EMP00072,Legal,Senior,Contract,2022-03-07,Non-binary,36-45
EMP00073,Finance,Mid,Full-time,2022-02-20,Non-binary,36-45
EMP00074,Customer Service,Mid,Full-time,2021-11-26,Non-binary,26-35
EMP00075,Operations,Junior,Full-time,2021-06-23,Non-binary,26-35
EMP00076,Marketing,Junior,Full-time,2021-08-29,Male,18-25
EMP00077,Operations,Mid,Contract,2022-05-02,Non-binary,26-35
EMP00078,Legal,Mid,Full-time,2022-12-15,Non-binary,36-45
EMP00079,Legal,Junior,Part-time,2021-04-20,Non-binary,36-45
EMP00080,IT,Manager,Full-time,2021-02-21,Male,46-55
EMP00081,Sales,Manager,Contract,2022-11-15,Non-binary,46-55
EMP00082,Legal,Lead,Full-time,2022-06-01,Male,36-45
EMP00083,Customer Service,Junior,Full-time,2022-05-02,Non-binary,26-35
EMP00084,Customer Service,Senior,Full-time,2022-06-18,Male,36-45
EMP00085,Marketing,Mid,Contract,2021-08-29,Male,18-25
EMP00086,Legal,Senior,Part-time,2021-08-25,Male,26-35
EMP00087,Customer Service,Mid,Full-time,2021-12-05,Female,26-35
EMP00088,Finance,Lead,Part-time,2022-08-22,Female,26-35
EMP00089,Marketing,Lead,Contract,2021-12-27,Female,36-45
EMP00090,IT,Mid,Full-time,2022-07-14,Female,18-25
EMP00091,Legal,Senior,Part-time,2021-12-11,Male,56+
EMP00092,Finance,Manager,Full-time,2022-07-01,Non-binary,18-25
EMP00093,Legal,Junior,Full-time,2022-10-21,Male,26-35
EMP00094,IT,Mid,Full-time,2021-12-02,Female,26-35
EMP00095,Marketing,Lead,Full-time,2022-03-08,Non-binary,36-45
EMP00096,IT,Senior,Part-time,2021-12-25,Non-binary,18-25
EMP00097,IT,Junior,Full-time,2021-02-01,Male,26-35
EMP00098,Operations,Senior,Full-time,2022-04-30,Non-binary,26-35
EMP00099,HR,Senior,Temporary,2022-01-13,Non-binary,18-25
EMP00100,Marketing,Junior,Full-time,2021-06-17,Female,36-45
EMP00101,Legal,Manager,Full-time,2022-01-20,Non-binary,36-45
EMP00102,IT,Junior,Part-time,2022-10-05,Non-binary,36-45
EMP00103,Finance,Mid,Full-time,2021-05-04,Female,18-25
EMP00104,Sales,Junior,Full-time,2022-10-26,Female,18-25
EMP00105,Customer Service,Senior,Full-time,2022-01-06,Non-binary,36-45
EMP00106,Marketing,Senior,Contract,2022-10-29,Female,26-35
EMP00107,Marketing,Mid,Full-time,2022-08-30,Male,26-35
EMP00108,IT,Lead,Full-time,2022-04-07,Non-binary,26-35
EMP00109,Customer Service,Lead,Full-time,2021-01-30,Male,26-35
EMP00110,Sales,Junior,Full-time,2021-09-22,Female,36-45
EMP00111,IT,Junior,Part-time,2022-06-14,Female,36-45
EMP00112,Customer Service,Senior,Full-time,2021-09-04,Male,18-25
EMP00113,Legal,Senior,Full-time,2021-08-15,Non-binary,26-35
EMP00114,Sales,Mid,Part-time,2022-07-21,Female,26-35
EMP00115,Marketing,Mid,Full-time,2022-04-10,Non-binary,26-35
EMP00116,HR,Junior,Part-time,2021-05-03,Female,36-45
EMP00117,Marketing,Director,Part-time,2022-06-22,Female,26-35
EMP00118,Marketing,Junior,Full-time,2021-07-03,Female,18-25
EMP00119,Marketing,Senior,Full-time,2021-02-25,Female,18-25
EMP00120,Marketing,Mid,Full-time,2021-01-13,Male,56+
EMP00121,Customer Service,Junior,Full-time,2021-09-16,Female,18-25
EMP00122,Finance,Junior,Part-time,2022-10-07,Female,18-25
EMP00123,Operations,Senior,Full-time,2021-09-12,Non-binary,46-55
EMP00124,Legal,Mid,Full-time,2021-08-20,Non-binary,56+
EMP00125,Finance,Senior,Part-time,2021-11-09,Male,36-45
EMP00126,Operations,Junior,Full-time,2021-09-28,Male,26-35
EMP00127,Customer Service,Senior,Full-time,2022-02-23,Male,26-35
EMP00128,Marketing,Senior,Full-time,2022-12-25,Non-binary,26-35
EMP00129,IT,Mid,Full-time,2021-09-28,Non-binary,18-25
EMP00130,HR,Junior,Full-time,2021-09-30,Female,36-45
EMP00131,Marketing,Mid,Full-time,2022-08-06,Female,36-45
EMP00132,Customer Service,Mid,Full-time,2021-10-06,Female,36-45
EMP00133,Marketing,Junior,Full-time,2022-09-11,Non-binary,46-55
EMP00134,Finance,Director,Full-time,2022-08-13,Female,36-45
EMP00135,Customer Service,Mid,Full-time,2021-06-29,Female,26-35
EMP00136,Legal,Senior,Full-time,2022-08-23,Male,26-35
EMP00137,Sales,Mid,Full-time,2022-02-23,Male,26-35
EMP00138,Customer Service,Junior,Contract,2022-12-12,Non-binary,18-25
EMP00139,Sales,Junior,Full-time,2021-04-01,Female,46-55
EMP00140,Customer Service,Mid,Full-time,2021-01-02,Female,36-45
EMP00141,Customer Service,Lead,Full-time,2022-05-26,Non-binary,18-25
EMP00142,Customer Service,Manager,Full-time,2021-10-22,Male,56+
EMP00143,IT,Senior,Full-time,2022-09-16,Male,36-45
EMP00144,IT,Director,Contract,2021-04-06,Female,56+
EMP00145,HR,Mid,Part-time,2022-10-26,Non-binary,36-45
EMP00146,Customer Service,Director,Full-time,2022-03-02,Non-binary,18-25
EMP00147,HR,Lead,Full-time,2021-07-15,Female,26-35
EMP00148,Marketing,Lead,Full-time,2022-06-04,Female,46-55
EMP00149,Customer Service,Lead,Full-time,2022-08-17,Female,26-35
EMP00150,Legal,Mid,Full-time,2022-07-20,Male,56+
EMP00151,Legal,Junior,Part-time,2021-09-02,Male,26-35
EMP00152,Legal,Mid,Full-time,2022-04-30,Non-binary,56+
EMP00153,Finance,Junior,Temporary,2022-05-23,Female,46-55
EMP00154,Operations,Mid,Full-time,2022-03-27,Non-binary,18-25
EMP00155,HR,Junior,Part-time,2022-11-02,Female,26-35
EMP00156,Legal,Senior,Contract,2022-12-11,Non-binary,46-55
EMP00157,Sales,Senior,Contract,2022-01-25,Female,46-55
EMP00158,Operations,Junior,Full-time,2021-02-06,Female,56+
EMP00159,Legal,Director,Part-time,2021-04-03,Non-binary,46-55
EMP00160,HR,Senior,Contract,2022-03-31,Male,26-35
EMP00161,Marketing,Mid,Full-time,2021-02-27,Male,36-45
EMP00162,HR,Junior,Full-time,2022-08-03,Female,36-45
EMP00163,Customer Service,Manager,Full-time,2021-09-04,Female,36-45
EMP00164,Marketing,Senior,Contract,2022-04-16,Female,56+
EMP00165,HR,Junior,Contract,2022-11-25,Non-binary,26-35
EMP00166,Marketing,Mid,Full-time,2022-03-11,Female,46-55
EMP00167,IT,Mid,Full-time,2021-04-20,Female,56+
EMP00168,Finance,Director,Full-time,2021-10-30,Female,18-25
EMP00169,Finance,Manager,Part-time,2022-12-04,Female,46-55
EMP00170,Sales,Junior,Full-time,2021-08-24,Female,36-45
EMP00171,HR,Senior,Contract,2022-11-07,Non-binary,18-25
EMP00172,Finance,Senior,Part-time,2022-03-28,Male,56+
EMP00173,Legal,Junior,Full-time,2021-12-01,Non-binary,46-55
EMP00174,Marketing,Lead,Full-time,2022-01-10,Female,56+
EMP00175,Sales,Lead,Full-time,2021-10-30,Male,18-25
EMP00176,Legal,Manager,Part-time,2021-08-20,Female,18-25
EMP00177,Finance,Junior,Full-time,2022-02-09,Female,36-45
EMP00178,Marketing,Senior,Part-time,2022-11-20,Female,18-25
EMP00179,Customer Service,Junior,Contract,2021-08-28,Non-binary,26-35
EMP00180,IT,Senior,Full-time,2022-09-17,Female,56+
EMP00181,Legal,Junior,Full-time,2021-11-06,Male,26-35
EMP00182,Operations,Junior,Contract,2022-05-20,Male,26-35
EMP00183,Legal,Senior,Part-time,2022-01-15,Female,36-45
EMP00184,Legal,Manager,Full-time,2022-05-17,Non-binary,26-35
EMP00185,Customer Service,Manager,Contract,2022-03-31,Male,56+
EMP00186,Sales,Junior,Full-time,2022-01-12,Male,56+
EMP00187,Operations,Senior,Full-time,2022-04-11,Non-binary,56+
EMP00188,Sales,Junior,Full-time,2021-02-21,Non-binary,26-35
EMP00189,IT,Senior,Part-time,2022-07-22,Male,26-35
EMP00190,Finance,Junior,Temporary,2021-06-01,Male,36-45
EMP00191,Operations,Senior,Full-time,2021-06-28,Male,26-35
EMP00192,Sales,Junior,Full-time,2021-09-01,Male,36-45
EMP00193,Operations,Senior,Full-time,2022-06-23,Female,36-45
EMP00194,Customer Service,Mid,Contract,2021-04-22,Male,36-45
EMP00195,Marketing,Mid,Temporary,2022-11-06,Male,56+
EMP00196,Legal,Senior,Full-time,2022-02-16,Female,18-25
EMP00197,Sales,Senior,Full-time,2021-03-24,Female,36-45
EMP00198,Sales,Mid,Full-time,2022-08-23,Female,26-35
EMP00199,Legal,Junior,Part-time,2022-09-12,Non-binary,36-45
EMP00200,IT,Mid,Contract,2022-07-19,Female,26-35
EMP00201,Legal,Mid,Full-time,2022-04-10,Female,26-35
EMP00202,Sales,Manager,Full-time,2021-09-19,Female,18-25
EMP00203,Operations,Mid,Part-time,2021-03-29,Female,46-55
EMP00204,Finance,Senior,Full-time,2022-07-24,Female,36-45
EMP00205,Sales,Manager,Contract,2022-02-25,Female,46-55
EMP00206,Marketing,Senior,Full-time,2021-02-22,Non-binary,36-45
EMP00207,Customer Service,Junior,Full-time,2021-06-08,Non-binary,26-35
EMP00208,IT,Lead,Part-time,2021-10-13,Non-binary,36-45
EMP00209,Finance,Senior,Full-time,2022-10-21,Non-binary,26-35
EMP00210,Marketing,Senior,Full-time,2021-07-04,Female,26-35
EMP00211,HR,Senior,Full-time,2021-07-05,Male,36-45
EMP00212,Operations,Senior,Full-time,2021-02-01,Female,26-35
EMP00213,Sales,Mid,Full-time,2021-06-11,Non-binary,36-45
EMP00214,HR,Junior,Full-time,2021-02-23,Non-binary,18-25
EMP00215,Legal,Mid,Full-time,2022-03-30,Female,26-35
EMP00216,Operations,Mid,Full-time,2022-06-09,Non-binary,36-45
EMP00217,Marketing,Junior,Full-time,2022-05-14,Non-binary,18-25
EMP00218,Marketing,Manager,Part-time,2021-07-29,Female,26-35
EMP00219,Finance,Mid,Full-time,2021-05-03,Male,26-35
EMP00220,IT,Mid,Part-time,2022-12-22,Female,18-25
EMP00221,Legal,Junior,Contract,2021-02-13,Female,36-45
EMP00222,Legal,Senior,Full-time,2022-08-11,Male,26-35
EMP00223,HR,Lead,Full-time,2021-11-29,Non-binary,56+
EMP00224,Legal,Lead,Full-time,2021-04-01,Non-binary,26-35
EMP00225,Legal,Manager,Part-time,2021-03-22,Male,26-35
EMP00226,Operations,Mid,Full-time,2021-06-22,Non-binary,26-35
EMP00227,Sales,Senior,Part-time,2021-12-24,Male,26-35
EMP00228,Marketing,Junior,Full-time,2021-05-30,Non-binary,18-25
EMP00229,Customer Service,Mid,Full-time,2022-10-06,Non-binary,26-35
EMP00230,Sales,Lead,Full-time,2022-08-02,Male,26-35
EMP00231,Customer Service,Senior,Part-time,2022-04-26,Non-binary,18-25
EMP00232,Operations,Mid,Full-time,2022-06-04,Male,26-35
EMP00233,Operations,Senior,Temporary,2021-10-21,Male,36-45
EMP00234,Legal,Mid,Full-time,2022-06-04,Non-binary,46-55
EMP00235,IT,Mid,Full-time,2022-04-06,Male,56+
EMP00236,Operations,Lead,Part-time,2022-04-07,Non-binary,18-25
EMP00237,HR,Junior,Part-time,2022-10-24,Female,36-45
EMP00238,HR,Mid,Contract,2022-09-17,Female,26-35
EMP00239,Finance,Lead,Full-time,2021-12-13,Male,26-35
EMP00240,Legal,Junior,Part-time,2022-07-26,Non-binary,56+
EMP00241,HR,Mid,Full-time,2022-09-10,Male,56+
EMP00242,Legal,Junior,Part-time,2021-11-14,Male,26-35
EMP00243,Sales,Lead,Full-time,2022-01-21,Non-binary,56+
EMP00244,Operations,Senior,Full-time,2022-06-24,Female,18-25
EMP00245,HR,Manager,Full-time,2021-11-13,Female,26-35
EMP00246,HR,Junior,Part-time,2021-05-21,Male,36-45
EMP00247,Finance,Senior,Contract,2022-07-07,Non-binary,18-25
EMP00248,HR,Junior,Part-time,2022-01-21,Non-binary,46-55
EMP00249,Customer Service,Junior,Full-time,2021-06-19,Non-binary,26-35
EMP00250,Marketing,Lead,Part-time,2022-03-31,Male,36-45
EMP00251,Customer Service,Manager,Full-time,2021-11-13,Non-binary,56+
EMP00252,Customer Service,Lead,Part-time,2022-03-28,Non-binary,36-45
EMP00253,IT,Lead,Full-time,2021-06-15,Female,18-25
EMP00254,Sales,Senior,Full-time,2022-05-08,Non-binary,46-55
EMP00255,Operations,Lead,Full-time,2021-10-19,Non-binary,18-25
EMP00256,Operations,Manager,Full-time,2022-03-24,Female,46-55
EMP00257,Legal,Junior,Full-time,2021-01-28,Male,26-35
EMP00258,Sales,Junior,Full-time,2021-03-25,Male,46-55
EMP00259,Sales,Lead,Full-time,2022-10-28,Female,56+
EMP00260,HR,Lead,Full-time,2022-04-29,Non-binary,18-25
EMP00261,Finance,Junior,Part-time,2021-03-23,Non-binary,56+
EMP00262,Legal,Junior,Full-time,2022-09-16,Female,18-25
EMP00263,Legal,Senior,Full-time,2021-09-02,Male,18-25
EMP00264,Finance,Senior,Full-time,2022-05-27,Non-binary,18-25
EMP00265,Finance,Senior,Full-time,2022-03-16,Female,26-35
EMP00266,Operations,Mid,Full-time,2022-11-16,Non-binary,36-45
EMP00267,Finance,Mid,Full-time,2022-06-04,Non-binary,26-35
EMP00268,Marketing,Senior,Full-time,2022-01-18,Male,26-35
EMP00269,Operations,Lead,Part-time,2022-11-04,Female,18-25
EMP00270,Sales,Lead,Full-time,2021-12-27,Non-binary,26-35
EMP00271,Customer Service,Senior,Part-time,2022-12-14,Male,36-45
EMP00272,Finance,Junior,Full-time,2022-04-14,Male,46-55
EMP00273,Marketing,Mid,Temporary,2021-11-20,Non-binary,26-35
EMP00274,IT,Junior,Contract,2021-02-07,Male,46-55
EMP00275,Marketing,Junior,Full-time,2021-12-06,Female,36-45
EMP00276,Sales,Director,Full-time,2022-01-31,Female,26-35
EMP00277,Marketing,Lead,Part-time,2022-06-16,Male,26-35
EMP00278,Marketing,Mid,Full-time,2021-07-04,Non-binary,26-35
EMP00279,Legal,Junior,Full-time,2022-04-02,Female,18-25
EMP00280,Legal,Junior,Temporary,2021-12-28,Male,18-25
EMP00281,Legal,Mid,Part-time,2022-10-15,Non-binary,26-35
EMP00282,HR,Lead,Full-time,2021-02-01,Female,18-25
EMP00283,IT,Lead,Full-time,2021-03-10,Female,56+
EMP00284,HR,Senior,Contract,2021-02-03,Female,26-35
EMP00285,HR,Mid,Full-time,2021-03-20,Non-binary,26-35
EMP00286,Finance,Senior,Full-time,2021-04-27,Female,56+
EMP00287,Marketing,Lead,Part-time,2021-05-01,Male,56+
EMP00288,Customer Service,Junior,Full-time,2021-10-20,Male,26-35
EMP00289,Customer Service,Director,Part-time,2023-01-01,Female,36-45
EMP00290,Operations,Mid,Full-time,2022-12-28,Female,46-55
EMP00291,HR,Lead,Full-time,2022-12-30,Male,56+
EMP00292,IT,Lead,Full-time,2021-05-23,Non-binary,36-45
EMP00293,HR,Senior,Full-time,2022-04-24,Female,26-35
EMP00294,Legal,Lead,Part-time,2022-05-06,Male,18-25
EMP00295,Operations,Mid,Full-time,2021-11-21,Female,18-25
EMP00296,HR,Lead,Full-time,2022-07-19,Non-binary,56+
EMP00297,Operations,Mid,Full-time,2021-02-26,Male,26-35
EMP00298,IT,Mid,Contract,2022-12-28,Female,46-55
EMP00299,IT,Senior,Full-time,2021-09-14,Male,36-45
EMP00300,Operations,Mid,Full-time,2022-09-22,Non-binary,26-35
EMP00301,Sales,Lead,Full-time,2022-11-06,Male,18-25
EMP00302,Marketing,Senior,Part-time,2022-10-19,Female,36-45
EMP00303,Customer Service,Manager,Full-time,2021-02-01,Non-binary,56+
EMP00304,IT,Lead,Full-time,2022-05-10,Female,26-35
EMP00305,Finance,Junior,Full-time,2022-12-07,Female,26-35
EMP00306,HR,Mid,Part-time,2022-09-14,Non-binary,56+
EMP00307,Legal,Junior,Full-time,2021-12-20,Non-binary,18-25
EMP00308,Customer Service,Junior,Full-time,2021-09-05,Male,18-25
EMP00309,Legal,Lead,Full-time,2021-10-25,Male,46-55
EMP00310,Sales,Junior,Full-time,2022-08-15,Non-binary,26-35
EMP00311,Customer Service,Junior,Contract,2021-11-12,Non-binary,26-35
EMP00312,IT,Senior,Full-time,2021-09-04,Female,26-35
EMP00313,Customer Service,Junior,Full-time,2022-11-01,Male,26-35
EMP00314,Sales,Lead,Full-time,2021-09-28,Female,18-25
EMP00315,IT,Mid,Full-time,2022-07-30,Female,36-45
EMP00316,Marketing,Lead,Full-time,2022-07-18,Non-binary,18-25
EMP00317,Legal,Mid,Temporary,2021-04-10,Non-binary,56+
EMP00318,IT,Senior,Full-time,2021-05-28,Male,18-25
EMP00319,Sales,Lead,Full-time,2021-05-21,Male,36-45
EMP00320,HR,Mid,Full-time,2022-06-12,Male,26-35
EMP00321,Marketing,Senior,Full-time,2022-09-24,Non-binary,36-45
EMP00322,Marketing,Mid,Full-time,2022-12-27,Female,36-45
EMP00323,Marketing,Lead,Part-time,2022-03-03,Non-binary,36-45
EMP00324,Customer Service,Junior,Full-time,2022-09-04,Non-binary,36-45
EMP00325,Customer Service,Junior,Full-time,2021-02-22,Non-binary,46-55
EMP00326,HR,Lead,Full-time,2022-01-25,Non-binary,56+
EMP00327,IT,Junior,Full-time,2021-04-23,Male,26-35
EMP00328,Legal,Mid,Full-time,2021-07-28,Female,46-55
EMP00329,HR,Mid,Full-time,2021-03-05,Non-binary,26-35
EMP00330,Sales,Manager,Full-time,2022-01-21,Non-binary,26-35
EMP00331,Marketing,Senior,Full-time,2021-12-29,Male,26-35
EMP00332,IT,Manager,Temporary,2021-11-02,Female,36-45
EMP00333,Customer Service,Mid,Full-time,2022-12-08,Non-binary,26-35
EMP00334,Legal,Manager,Full-time,2021-05-05,Female,56+
EMP00335,Marketing,Junior,Temporary,2021-05-30,Male,26-35
EMP00336,Marketing,Senior,Full-time,2022-03-29,Non-binary,26-35
EMP00337,Marketing,Junior,Full-time,2022-07-30,Non-binary,26-35
EMP00338,IT,Senior,Full-time,2021-02-21,Female,26-35
EMP00339,Operations,Senior,Full-time,2022-04-29,Non-binary,56+
EMP00340,Legal,Senior,Contract,2021-06-11,Female,26-35
EMP00341,Marketing,Mid,Full-time,2021-07-24,Male,36-45
EMP00342,Finance,Manager,Full-time,2021-08-26,Male,56+
EMP00343,Legal,Lead,Full-time,2021-02-07,Non-binary,56+
EMP00344,Finance,Junior,Full-time,2021-10-24,Male,56+
EMP00345,Marketing,Mid,Full-time,2021-12-10,Non-binary,26-35
EMP00346,Customer Service,Junior,Part-time,2021-05-18,Female,26-35
EMP00347,Marketing,Senior,Full-time,2022-04-15,Female,46-55
EMP00348,IT,Junior,Contract,2022-08-05,Female,46-55
EMP00349,Sales,Junior,Full-time,2022-06-12,Male,56+
EMP00350,Sales,Manager,Full-time,2022-05-04,Female,26-35
EMP00351,Sales,Mid,Part-time,2021-10-01,Male,26-35
EMP00352,IT,Junior,Full-time,2022-01-04,Female,26-35
EMP00353,Marketing,Senior,Full-time,2022-12-04,Female,26-35
EMP00354,IT,Manager,Full-time,2021-08-15,Female,36-45
EMP00355,Sales,Mid,Full-time,2022-09-13,Female,46-55
EMP00356,IT,Lead,Full-time,2022-11-12,Non-binary,46-55
EMP00357,Customer Service,Mid,Full-time,2021-03-25,Non-binary,18-25
EMP00358,IT,Senior,Full-time,2022-07-15,Female,46-55
EMP00359,Operations,Senior,Part-time,2022-03-29,Female,18-25
EMP00360,Customer Service,Lead,Full-time,2022-06-07,Non-binary,26-35
EMP00361,Finance,Senior,Full-time,2022-08-01,Female,36-45
EMP00362,Marketing,Lead,Part-time,2022-02-10,Non-binary,18-25
EMP00363,Sales,Senior,Full-time,2022-03-10,Male,56+
EMP00364,Customer Service,Junior,Full-time,2021-03-12,Male,46-55
EMP00365,Legal,Mid,Contract,2022-10-24,Female,46-55
EMP00366,Legal,Junior,Temporary,2022-01-22,Non-binary,18-25
EMP00367,Operations,Junior,Full-time,2021-12-23,Non-binary,18-25
EMP00368,Finance,Lead,Temporary,2021-08-17,Female,36-45
EMP00369,Legal,Mid,Part-time,2022-07-12,Male,26-35
EMP00370,Marketing,Junior,Contract,2021-06-08,Male,18-25
EMP00371,Legal,Senior,Contract,2022-11-08,Male,26-35
EMP00372,Operations,Senior,Full-time,2021-03-10,Non-binary,36-45
EMP00373,IT,Senior,Full-time,2021-02-19,Male,36-45
EMP00374,HR,Mid,Full-time,2021-02-27,Non-binary,36-45
EMP00375,Sales,Junior,Contract,2022-08-15,Non-binary,36-45
EMP00376,Marketing,Junior,Full-time,2022-02-28,Non-binary,46-55
EMP00377,Legal,Senior,Full-time,2021-06-29,Female,56+
EMP00378,Legal,Lead,Full-time,2022-11-19,Female,26-35
EMP00379,Legal,Junior,Full-time,2021-11-04,Male,46-55
EMP00380,HR,Lead,Contract,2021-11-04,Non-binary,26-35
EMP00381,HR,Mid,Full-time,2022-03-03,Female,36-45
EMP00382,Sales,Junior,Part-time,2022-04-06,Male,18-25
EMP00383,Finance,Manager,Full-time,2022-01-22,Non-binary,36-45
EMP00384,IT,Mid,Contract,2022-07-27,Female,26-35
EMP00385,IT,Manager,Temporary,2021-01-16,Male,36-45
EMP00386,IT,Senior,Part-time,2022-05-06,Female,56+
EMP00387,Sales,Lead,Full-time,2022-07-20,Non-binary,36-45
EMP00388,Marketing,Mid,Contract,2021-11-12,Female,18-25
EMP00389,Sales,Manager,Full-time,2022-04-26,Female,18-25
EMP00390,HR,Junior,Full-time,2021-08-15,Non-binary,36-45
EMP00391,Marketing,Junior,Full-time,2022-03-04,Female,36-45
EMP00392,Customer Service,Senior,Contract,2021-09-09,Female,26-35
EMP00393,Customer Service,Mid,Part-time,2022-05-16,Female,26-35
EMP00394,Customer Service,Junior,Contract,2022-07-14,Non-binary,56+
EMP00395,Finance,Lead,Full-time,2022-06-21,Non-binary,18-25
EMP00396,Legal,Junior,Full-time,2021-01-07,Male,36-45
EMP00397,IT,Mid,Full-time,2021-01-10,Non-binary,36-45
EMP00398,Customer Service,Senior,Full-time,2022-09-24,Non-binary,36-45
EMP00399,Finance,Mid,Full-time,2021-01-13,Female,18-25
EMP00400,Legal,Lead,Contract,2022-12-16,Male,56+
EMP00401,HR,Junior,Full-time,2022-06-21,Female,46-55
EMP00402,Legal,Junior,Temporary,2021-10-01,Female,36-45
EMP00403,IT,Junior,Part-time,2022-12-15,Male,36-45
EMP00404,Finance,Junior,Full-time,2022-10-28,Non-binary,26-35
EMP00405,Finance,Senior,Full-time,2022-10-15,Female,36-45
EMP00406,Operations,Manager,Contract,2021-12-06,Male,26-35
EMP00407,Customer Service,Junior,Contract,2022-12-10,Non-binary,56+
EMP00408,Finance,Junior,Contract,2022-07-11,Male,56+
EMP00409,HR,Lead,Part-time,2022-08-25,Female,56+
EMP00410,HR,Senior,Full-time,2021-11-03,Female,36-45
